couldn't open "transcript": permission denied
# //  Questa Intel Starter FPGA Edition-64
# //  Version 2021.2 win64 Apr 14 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
cd {D:/Study/FALL2024/ECNG 4104/Project/Phase1/sim}
# reading modelsim.ini
do PPBuffer_run.do
# ** Warning: (vlib-34) Library already exists at "work".
# Errors: 0, Warnings: 1
# Questa Intel Starter FPGA Edition-64 vmap 2021.2 Lib Mapping Utility 2021.04 Apr 14 2021
# vmap altera_mf C:/intelFPGA_lite/22.1std/questa_fse/intel/verilog/altera_mf 
# Modifying modelsim.ini
# Questa Intel Starter FPGA Edition-64 vlog 2021.2 Compiler 2021.04 Apr 14 2021
# Start time: 11:12:16 on Nov 15,2024
# vlog -reportprogress 300 -sv ../rtl/PPBuffer.sv ../rtl/PPBufferControl.sv ../rtl/SPI_FSM.sv ../rtl/interleaver.sv ../rtl/out_interlace.sv 
# -- Compiling module PPBuffer
# -- Compiling module PPBufferControl
# -- Compiling module SPI_FSM
# -- Compiling module interleaver
# -- Compiling module out_interlace
# 
# Top level modules:
# 	PPBuffer
# 	SPI_FSM
# 	interleaver
# 	out_interlace
# End time: 11:12:16 on Nov 15,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Questa Intel Starter FPGA Edition-64 vlog 2021.2 Compiler 2021.04 Apr 14 2021
# Start time: 11:12:17 on Nov 15,2024
# vlog -reportprogress 300 -sv ../ip/SDPR.v 
# -- Compiling module SDPR
# 
# Top level modules:
# 	SDPR
# End time: 11:12:17 on Nov 15,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Questa Intel Starter FPGA Edition-64 vlog 2021.2 Compiler 2021.04 Apr 14 2021
# Start time: 11:12:17 on Nov 15,2024
# vlog -reportprogress 300 -sv PPBuffer_tb.sv 
# -- Compiling module PPBuffer_tb
# 
# Top level modules:
# 	PPBuffer_tb
# End time: 11:12:17 on Nov 15,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# vsim -voptargs="+acc" -L altera_mf work.PPBuffer_tb 
# Start time: 11:12:18 on Nov 15,2024
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# ** Error (suppressible): PPBuffer_tb.sv(110): (vopt-7063) Failed to find 'control' in hierarchical name 'dut.control.wren_A'.
#         Region: PPBuffer_tb
# ** Error (suppressible): PPBuffer_tb.sv(110): (vopt-7063) Failed to find 'control' in hierarchical name 'dut.control.wren_B'.
#         Region: PPBuffer_tb
# ** Error (suppressible): PPBuffer_tb.sv(110): (vopt-7063) Failed to find 'control' in hierarchical name 'dut.control.rden_A'.
#         Region: PPBuffer_tb
# ** Error (suppressible): PPBuffer_tb.sv(110): (vopt-7063) Failed to find 'control' in hierarchical name 'dut.control.rden_B'.
#         Region: PPBuffer_tb
# ** Error (suppressible): PPBuffer_tb.sv(110): (vopt-7063) Failed to find 'control' in hierarchical name 'dut.control.q_sel'.
#         Region: PPBuffer_tb
# Optimization failed
# ** Note: (vsim-12126) Error and warning message counts have been restored: Errors=5, Warnings=0.
# Error loading design
# Error: Error loading design
#        Pausing macro execution
# MACRO ./PPBuffer_run.do PAUSED at line 9
do PPBuffer_run.do
# End time: 11:13:21 on Nov 15,2024, Elapsed time: 0:01:03
# Errors: 5, Warnings: 0
# ** Warning: (vlib-34) Library already exists at "work".
# Errors: 0, Warnings: 1
# Questa Intel Starter FPGA Edition-64 vmap 2021.2 Lib Mapping Utility 2021.04 Apr 14 2021
# vmap altera_mf C:/intelFPGA_lite/22.1std/questa_fse/intel/verilog/altera_mf 
# Modifying modelsim.ini
# Questa Intel Starter FPGA Edition-64 vlog 2021.2 Compiler 2021.04 Apr 14 2021
# Start time: 11:13:21 on Nov 15,2024
# vlog -reportprogress 300 -sv ../rtl/PPBuffer.sv ../rtl/PPBufferControl.sv ../rtl/SPI_FSM.sv ../rtl/interleaver.sv ../rtl/out_interlace.sv 
# -- Compiling module PPBuffer
# -- Compiling module PPBufferControl
